_id,rata,ente,descrizione,cod_tipoimposta,tipo_imposta,cod_imposta,imposta,spesa,aggregation-time,area_geografica,Tipo Imposta,SPESA TOTALE,2cod_imposta,cod imposta ext,ente%code
668F34079B1C1405Cffd2Ce2,202405.0,945.0,Ente Parco Nazionale Del Gran Sasso E Monti Della Laga,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,17410.559999999998,2024-07-11T03:01:16.866,Isole,Previdenziali,17410.559999999998,13,13,945.0
6731590C568F146444A34E41,202410.0,954.0,//,1,Netto,15.0,Netto,10455819.51,2024-11-11T02:00:28.485,Nord,Netto,10455819.51,15,15,954.0
66Bf604B0377F64Bd0Cd25Db,202407.0,930.0,Azienda Sanitaria Locale Latina,2,Erariali,6.0,Irap,1052848.75,2024-08-16T16:11:01.334,Sud,Erariali,1052848.75,6,6,930.0
661738E49B1C14196E7Da353,202403.0,843.0,Anvur(Agenzia Naz.Valutazione Sist.Universitario E Ricerca),2,Erariali,5.0,Irpef,64367.77000000001,2024-04-11T03:00:48.766,Isole,Erariali,64367.77000000001,5,5,843.0
663Ec5F43F62190222Cfb6Da,202404.0,829.0,N.D.,2,Erariali,5.0,Irpef,1612476.75,2024-05-11T03:01:07.269,Isole,Erariali,1612476.75,5,5,10.0
671A780D568F1404768E2Bd7,202409.0,963.0,Autorita' Di Bacino Distrettuale Dell'Appennino Meridionale,2,Erariali,6.0,Irap,29953.740000000013,24.10.2024,Isole,Erariali,29953.740000000013,6,6,963.0
6667A4B8262Bc331Baee73C8,202405.0,958.0,Autorita' Di Bacino Distrettuale Dell'Appennino Centrale,2,Erariali,8.0,Addizionali Comunali,2357.9,11.06.2024,Centro,Erariali,2357.9,8,8,958.0
663Ec5F33F62190222Cfb66C,202404.0,28.0,Consiglio Per Ric. In Agricoltura E Analisi Economia Agraria,4,Varie,12.0,Altre Voci,26784.229999999792,2024-05-11T03:01:07.269,Sud,Varie,26784.229999999792,12,12,28.0
66E0Ee5Cf458Af5423Ceb4Bf,202408.0,32.0,Istituto Superiore Di Sanita',4,Varie,11.0,Prestiti,74791.1,2024-09-11T03:01:11.704,Nord,Varie,74791.1,11,11,32.0
663Ec5F33F62190222Cfb64D,202404.0,4.0,Ministero Dell'Istruzione E Del Merito,2,Erariali,8.0,Addizionali Comunali,87912478.86,2024-05-11T03:01:07.269,Centro,Erariali,87912478.86,8,8,4.0
661738E49B1C14196E7Da2F4,202403.0,3856.8613671602207,Agenzia Per L'Italia Digitale,4,Varie,12.0,//,2483.109999999999,2024-04-11T03:00:48.766,Sud,Varie,2483.109999999999,12,12,3905.0262011891273
663Ec5F33F62190222Cfb632,202404.0,28.0,Consiglio Per Ric. In Agricoltura E Analisi Economia Agraria,2,Erariali,7.0,Addizionali Regionali,179848.42,2024-05-11T03:01:07.269,Nord,Erariali,179848.42,7,7,28.0
668F34079B1C1405Cffd2D0A,202406.0,805.0,Agenzia Nazionale Per La Sicurezza Del Volo,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,23136.35000000001,2024-07-11T03:01:16.866,Isole,Previdenziali,23136.35000000001,13,13,805.0
668F34079B1C1405Cffd2D3E,202406.0,976.0,Istituto Musicale Pareggiato Della Valle D'Aosta,3,Previdenziali,14.0,Previdenziali A Carico Del Datore Di Lavoro,8245.240000000027,2024-07-11T03:01:16.866,Sud,Previdenziali,8245.240000000027,14,14,976.0
668F34079B1C1405Cffd2D05,202406.0,964.0,Comune Di Caravaggio,2,Erariali,5.0,Irpef,62372.30999999998,2024-07-11T03:01:16.866,Isole,Erariali,62372.30999999998,5,5,964.0
661738E49B1C1417E85D36B8,202403.0,6.0,Ministero Dell'Ambiente E Della Sicurezza Energetica,2,Erariali,8.0,Addizionali Comunali,61257.08,2024-04-11T03:00:48.766,Nord,Erariali,61257.08,8,8,6.0
663Ec5Ea3F62190222Cfb548,202404.0,829.0,Ente Parco Nazionale Del Gran Sasso E Monti Della Laga,4,Varie,11.0,Prestiti,1799.29,2024-05-11T03:01:07.269,Centro,Varie,1799.29,11,11,945.0
65Ee5Ac7Eb0F334C5C367589,202402.0,21.0,Agenzia Delle Dogane,2,Erariali,5.0,Irpef,6543617.570000316,2024-03-11T02:01:04.421,Nord,Erariali,6543617.570000316,5,5,21.0
659F417C9B1C1468E2E39A7F,202321.9562308086,948.0,A.O.R.N. Antonio Cardarelli,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,6807615.07,2024-01-11T02:01:40.336,Isole,Previdenziali,6807615.07,13,13,948.0
663Ec5F33F62190222Cfb685,202404.0,974.0,Agenzia Industrie Difesa Aid,4,Varie,10.0,Prestiti,39447.56,11-05-24,Sud,Varie,39447.56,11,11,974.0
668F34090377F62206882C1C,202406.0,963.0,Autorita' Di Bacino Distrettuale Dell'Appennino Meridionale,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,103197.0699999998,2024-07-11T03:01:16.866,Isole,Previdenziali,103197.0699999998,13,13,963.0
65C81F2B3F62191D044E2Ab6,202401.0,971.0,Arpal Puglia,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,556051.579999987,2024-02-11T02:01:21.381,Isole,Previdenziali,556051.579999987,13,13,971.0
663Ec5Ea3F62190222Cfb528,202404.0,975.0,Ipab Istituto Di Beneficenza E Scolastico Sac. M. Scriffignano Siscaro,2,Erariali,7.0,Addizionali Regionali,33271.86,11-05-24,Isole,Erariali,33492.77500000004,7,7,975.0
663Ec5Ea3F62190222Cfb4Ce,202404.0,12.0,Ministero Dell'Interno,2,Erariali,8.0,Addizionali Comunali,4638448.79,2024-05-11T03:01:07.269,Nord,Erariali,4638448.79,8,8,12.0
668F34080377F62206882Be5,202406.0,925.0,Autorita' Garante Per L'Infanzia E L'Adolescenza Agia,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,28017.319999999992,11/07/2024,Nord,Previdenziali,28017.319999999992,13,13,925.0
661738E39B1C14196E7Da29C,202403.0,925.0,Autorita' Garante Per L'Infanzia E L'Adolescenza Agia,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,8778.959999999994,2024-04-11T03:00:48.766,Sud,Previdenziali,8778.959999999994,14,14,925.0
661738E59B1C1417E85D3755,202403.0,960.0,Autorita' Di Bacino Distr. Dell'Appennino Settentrionale,2,Erariali,6.0,Irap,13678.77999999999,2024-04-11T03:00:48.766,Isole,Erariali,13678.77999999999,6,6,960.0
661738E49B1C14196E7Da2D5,202403.0,954.0,Ispettorato Nazionale Del Lavoro,2,Erariali,6.0,Irap,2511814.830000837,2024-04-11T03:00:48.766,Nord,Erariali,2511814.830000837,6,6,954.0
659F417C9B1C1468E2E39A79,202321.9562308086,945.0,Ente Parco Nazionale Del Gran Sasso E Monti Della Laga,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,40978.62999999995,11.01.2024,Sud,Previdenziali,40978.62999999995,13,13,945.0
66Bf60530377F64Bd0Cd2617,202407.0,19.0,Ministero Universita' E Ricerca,4,Varie,12.0,Altre Voci,76655.87,2024-08-16T16:11:01.334,Isole,Varie,76655.87,12,12,19.0
66Bf60490377F64B681B513A,202407.0,966.0,Ministero Universita' E Ricerca,2,Erariali,5.0,Irpef,793155.3999999999,2024-08-16T16:11:01.334,Nord,Erariali,793155.3999999999,5,5,966.0
66Bf60520377F64B679F28Ba,202407.0,12.0,Ministero Dell'Interno,4,Varie,10.0,Ritenute Sindacali,1309245.27,2024-08-16T16:11:01.334,Isole,Varie,1309245.27,10,10,12.0
66Bf60520377F64B679F28D0,202407.0,23.0,Agenzia Per Le Erogazioni In Agricoltura,2,Erariali,7.0,Addizionali Regionali,23821.58000000002,2024-08-16T16:11:01.334,Sud,Erariali,23821.58000000002,7,7,23.0
6667A4C1262Bc331Bdcd0C2C,202405.0,843.0,Anvur(Agenzia Naz.Valutazione Sist.Universitario E Ricerca),4,Assistenziali,10.0,Ritenute Sindacali,258.4,2024-06-11T03:01:23.745,Isole,Varie,258.4,10,10,843.0
65Ee5Ac6F458Af56Cdec181F,202402.0,805.0,Agenzia Nazionale Per La Sicurezza Del Volo,4,Varie,10.0,Ritenute Sindacali,218.54,2024-03-11T02:01:04.421,Nord,Varie,218.54,10,10,805.0
668F34079B1C1405Cffd2D1D,202405.0,17.0,Consiglio Di Stato E T.A.R.,4,Varie,11.0,Prestiti,67272.49,2024-07-11T03:01:16.866,Isole,Varie,67272.49,11,11,17.0
