_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation-time,qualifica,Provincia Sede,CODICE ENTE,3descrizione,regione%sede,att ivazioni
6852Caed205349164Be9Bb8F,6.0,2024.0,12.0,Ministero Dell'Interno,Rm,19.0,0.0,3.0,202406.0,2025-06-18T16:15:20.148346,Funzionario,Ca,12.0,Ministero Dell'Interno,19.0,0.0
6852Caf6205349164Bebaac8,12.0,2023.0,21.0,Agenzia Delle Dogane,Aq,12.0,2.0,0.0,202312.0,2025-06-18T16:15:20.148346,Operatore,Aq,21.0,Agenzia Delle Dogane,12.0,2.0
6852Cad979C2715845D94068,10.0,2024.0,19.0,Ministero Universita' E Ricerca,Mo,7.0,240.0,21.0,202410.0,2025-06-18T16:15:20.148346,Impiegato,Mo,19.0,Ministero Universita' E Ricerca,7.0,240.0
6852Caf5205349164Beb5643,12.0,2024.0,13.0,Ministero Delle Imprese E Del Made In Italy,Rm,11.0,10.0,32.0,202412.0,2025-06-18T16:15:20.148346,Funzionario,Rm,13.0,Ministero Delle Imprese E Del Made In Italy,11.0,10.0
6852Caee205349164Be9E565,10.0,2024.0,14.0,Nd,Ra,7.0,6.0,2.0,202404.0,2025-06-18T16:15:20.148346,Operatore,Ra,14.0,Ministero Della Cultura,7.0,6.0
6852Caef205349164Bea1534,11.0,2023.0,954.0,Ispettorato Nazionale Del Lavoro,To,1.0,0.0,2.0,202311.0,2025-06-18T16:15:20.148346,Impiegato,To,954.0,Ispettorato Nazionale Del Lavoro,1.0,0.0
6852Cae8205349164Be8E3A1,10.0,2023.0,2.0,Ministero Delle Infrastrutture E Dei Trasporti,Ro,4.0,2.0,0.0,202310.0,2025-06-18T16:15:20.148346,Impiegato,Ro,2.0,Ministero Delle Infrastrutture E Dei Trasporti,4.0,2.0
6852Cafe79C2715845D94405,7.0,2023.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Bo,7.0,0.0,5.0,202303.0,2025-06-18T16:15:20.148346,Impiegato,Bo,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,7.0,0.0
6852Caf7205349164Bebd860,1.0,1408.6958321381449,4.0,Ministero Dell'Istruzione E Del Merito,Sv,6.0,6.0,3.0,202401.0,2025-06-18T16:15:20.148346,Funzionario,Sv,4.0,Ministero Dell'Istruzione E Del Merito,6.0,6.0
6852Caf3205349164Beae210,12.0,2023.0,21.0,Agenzia Delle Dogane,Sa,14.0,0.0,1.0,202312.0,2025-06-18T16:15:20.148346,Funzionario,Sa,21.0,Agenzia Delle Dogane,14.0,0.0
